Ricky,2016,137 min,7.9,"Romance, Thriller            ",kannada
Dada,1988,142 min,6.8,Action            ,kannada
Kanaka,2018,155 min,6.9,Action            ,kannada
Bhoodana,1962,161 min,8.6,Drama            ,kannada
Elleidde illi Tanaka,2019,138 min,6,Comedy            ,kannada
Krishnan Marriage Story,2011,133 min,6.2,"Drama, Romance            ",kannada
Ambareesha,2014,155 min,4,Action            ,kannada
Bhaktha Vijaya,1956,149 min,8.5,"Drama, Family            ",kannada
Katha Sangama,1975,144 min,8,Drama            ,kannada
Viraat,2016,145 min,4.3,Action            ,kannada
Jayammana Maga,2013,139 min,7.1,Drama            ,kannada
Bellary Naga,2009,132 min,7.1,Action            ,kannada
Style King,2016,138 min,6.9,"Comedy, Crime, Drama            ",kannada
Hebbuli,2017,141 min,7,"Action, Drama, Thriller            ",kannada
Nodi Swamy Navirodu Hige,1983,142 min,7.6,Drama            ,kannada
Bayalu Dari,1977,139 min,7.7,Drama            ,kannada
Keralida Simha,1981,164 min,8.5,Musical            ,kannada
Kasturi Nivasa,1970,152 min,8.4,Drama            ,kannada
Priyanka,2016,135 min,6.5,"Drama, Thriller            ",kannada
Barfi,2013,105 min,6.6,"Comedy, Romance            ",kannada
Damayanthi,2019,161 min,8.1,Drama            ,kannada
Dk,2015,140 min,3.5,"Comedy, Drama            ",kannada
Raktha Kanneeru,2003,149 min,7.9,"Comedy, Drama            ",kannada
Birbal,2019,163 min,7.8,"Crime, Thriller            ",kannada
Mane,1991,137 min,6.6,"Drama, Mystery            ",kannada
Johnny Johnny Yes Papa,2018,151 min,5.5,Comedy            ,kannada
Sharapanjara,1971,180 min,7.9,Drama            ,kannada
Maharaja,2005,154 min,6.5,"Drama, Family            ",kannada
Paachi: Paapi chiraayu,2015,58 min,8,Thriller            ,kannada
Murali Meets Meera,2011,137 min,6.1,"Comedy, Romance            ",kannada
Roberrt,2021,166 min,6.3,Action            ,kannada
Ratnamanjarii,2019,150 min,4.6,Thriller            ,kannada
Ajay,2006,158 min,7.6,"Action, Drama, Romance            ",kannada
India vs England,2020,142 min,5.9,Drama            ,kannada
Killing Veerappan,2016,151 min,7.2,"Action, Biography, Crime            ",kannada
Vajrakaya,2015,145 min,5.9,"Action, Drama, Family            ",kannada
Nammoora Mandaara Hoove,1997,168 min,7.5,"Drama, Romance            ",kannada
Mukunda Murari,2016,137 min,7.3,"Comedy, Drama, Fantasy            ",kannada
